stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN,1. Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,6.Doanh thu hoạt động tài chính,7. Chi phí tài chính,Trong đó :Chi phí lãi vay,"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh,12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác,Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,15. Tổng lợi nhuận kế toán trước thuế,16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi ích của cổ đông thiểu số,Lợi nhuận sau thuế của cổ đông của Công ty mẹ,19. Lãi cơ bản trên cổ phiếu (*),20. Lãi suy giảm trên cổ phiếu (*)
VRE,Q12017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394.0,,1394.0,648.0,746.0,132.0,132.0,132.0,145.0,63.0,66.0,762.0,7.0,4.0,3.0,,765.0,69.0,-3.0,699.0,0.0,699.0,,
VRE,Q12018,,,13340.0,1405.0,284.0,1121.0,60.0,,,60.0,3886.0,596.0,216.0,,,,533.0,-73.0,,1969.0,1996.0,-4.0,6019.0,374.0,113.0,2.0,,5530.0,24780.0,10.0,,,,,,10.0,,168.0,135.0,22735.0,-2553.0,,33.0,20183.0,1295.0,,1295.0,1830.0,,,,,1830.0,,1296.0,418.0,17.0,,327.0,534.0,,38120.0,,11484.0,7564.0,821.0,2069.0,138.0,1.0,656.0,,,35.0,1014.0,2817.0,9.0,3.0,,,3920.0,,,,,,50.0,638.0,3164.0,,,68.0,,,,26636.0,26636.0,19011.0,19011.0,,4324.0,,,,,,,,-58.0,3328.0,2787.0,541.0,,31.0,,,,,,38120.0,1618.0,,1618.0,817.0,801.0,187.0,132.0,131.0,,60.0,96.0,700.0,8.0,6.0,2.0,,702.0,158.0,2.0,541.0,0.0,541.0,,
VRE,Q12019,,,5716.0,1113.0,933.0,180.0,701.0,,,701.0,1049.0,403.0,247.0,,,,409.0,-9.0,,820.0,821.0,-1.0,2033.0,149.0,80.0,0.0,,1804.0,32905.0,6.0,,,,,,6.0,,300.0,274.0,30177.0,-3656.0,,26.0,26521.0,1625.0,,1625.0,1832.0,,,2.0,,1830.0,,2621.0,574.0,9.0,,1576.0,461.0,,38621.0,,9509.0,5612.0,2785.0,979.0,220.0,0.0,620.0,,,117.0,848.0,18.0,22.0,3.0,,,3897.0,,,,,,190.0,863.0,2763.0,,,81.0,,,,29112.0,29112.0,23288.0,23288.0,,47.0,,,,,,,,-58.0,5795.0,5183.0,612.0,,41.0,,,,,,38621.0,2284.0,,2284.0,1312.0,972.0,80.0,73.0,72.0,,92.0,116.0,771.0,9.0,2.0,7.0,,778.0,167.0,0.0,611.0,-1.0,612.0,,
VRE,Q12020,,,5288.0,2054.0,2034.0,20.0,89.0,,,89.0,783.0,489.0,116.0,,,,189.0,-11.0,,969.0,970.0,-1.0,1393.0,141.0,33.0,1.0,,1218.0,31628.0,959.0,,,,,950.0,9.0,,470.0,442.0,32860.0,-4978.0,,28.0,27881.0,796.0,,796.0,,,,,,,,1522.0,527.0,10.0,,597.0,389.0,,36916.0,,9470.0,5345.0,2108.0,988.0,303.0,0.0,693.0,,,123.0,1082.0,19.0,24.0,3.0,,,4125.0,,,,,,112.0,1167.0,2766.0,,,80.0,,,,27446.0,27446.0,23288.0,23288.0,,47.0,,,-1954.0,,,,,-53.0,6084.0,5592.0,492.0,,34.0,,,,,,36916.0,1686.0,,1686.0,927.0,759.0,47.0,79.0,79.0,,61.0,90.0,575.0,45.0,1.0,44.0,,619.0,128.0,-1.0,492.0,0.0,492.0,,
VRE,Q12021,,,5937.0,3013.0,1067.0,1946.0,1109.0,,,1109.0,1452.0,1213.0,79.0,,,,190.0,-31.0,,286.0,286.0,,76.0,33.0,43.0,0.0,,,33844.0,1258.0,,,,,,8.0,,440.0,422.0,33709.0,-6323.0,,18.0,27386.0,971.0,,971.0,,,,,,,,3789.0,475.0,16.0,,2982.0,316.0,,39780.0,,9663.0,5266.0,606.0,169.0,231.0,0.0,703.0,,,148.0,823.0,2568.0,16.0,3.0,,,4397.0,,,,,,91.0,1109.0,3119.0,,,78.0,,,,30117.0,30117.0,23288.0,23288.0,,47.0,,,-1954.0,,,,,-53.0,8755.0,7974.0,781.0,,35.0,,,,,,39780.0,2226.0,,2226.0,1058.0,1168.0,102.0,154.0,153.0,,92.0,64.0,960.0,21.0,1.0,20.0,0.0,980.0,199.0,-1.0,781.0,0.0,781.0,,
VRE,Q12022,,,7044.0,3889.0,625.0,3263.0,292.0,,,292.0,1034.0,960.0,37.0,,,,219.0,-181.0,,555.0,555.0,,1274.0,46.0,23.0,2.0,,1203.0,30686.0,8.0,,,,,,8.0,,431.0,418.0,33582.0,-7659.0,,13.0,25923.0,1282.0,,1282.0,,,,,,,,3041.0,377.0,16.0,,2404.0,243.0,,37731.0,,6702.0,2386.0,481.0,150.0,158.0,,520.0,,,78.0,961.0,20.0,14.0,3.0,,,4316.0,,,,,,97.0,995.0,3148.0,,,76.0,,,,31028.0,31028.0,23288.0,23288.0,,47.0,,,-1954.0,,,,,-53.0,9666.0,9289.0,377.0,,35.0,,,,,,37731.0,1369.0,,1369.0,758.0,611.0,103.0,90.0,90.0,,55.0,88.0,482.0,18.0,0.0,18.0,,501.0,124.0,0.0,378.0,0.0,377.0,,
VRE,Q12023,,,11910.0,7295.0,158.0,7138.0,98.0,,,98.0,1355.0,1081.0,70.0,,,,395.0,-192.0,,1427.0,1427.0,,1735.0,163.0,48.0,9.0,,1515.0,32349.0,10.0,,,,,,10.0,,417.0,402.0,35186.0,-9010.0,,15.0,26176.0,701.0,,701.0,,,,,,,,5045.0,468.0,108.0,,4299.0,171.0,,44259.0,,9817.0,6295.0,765.0,1421.0,1132.0,,708.0,,,70.0,1119.0,1069.0,7.0,3.0,,,3522.0,,,,,,120.0,1200.0,2127.0,,,74.0,,,,34442.0,34442.0,23288.0,23288.0,,47.0,,,-1954.0,,,,,-53.0,13091.0,12065.0,1026.0,,23.0,,,,,,44259.0,1943.0,,1943.0,755.0,1188.0,224.0,100.0,100.0,,29.0,79.0,1204.0,61.0,16.0,45.0,,1249.0,259.0,-34.0,1024.0,0.0,1024.0,,
VRE,Q12024,,,11393.0,2921.0,1062.0,1859.0,1017.0,,,1017.0,4322.0,1456.0,81.0,,,2350.0,708.0,-273.0,,511.0,511.0,,2622.0,85.0,21.0,1.0,,2515.0,37623.0,10.0,,,,,,10.0,,404.0,380.0,35171.0,-10306.0,,24.0,24864.0,1000.0,,1000.0,,,,,,,,11346.0,454.0,80.0,,10710.0,101.0,,49016.0,,10107.0,6625.0,488.0,732.0,1810.0,0.0,773.0,,,101.0,908.0,1808.0,5.0,2.0,,,3482.0,,,,,,110.0,1152.0,2148.0,,,71.0,,,,38909.0,38909.0,23288.0,23288.0,,47.0,,,-1954.0,,,,,-53.0,17581.0,16476.0,1106.0,,0.0,,,,,,49016.0,2255.0,,2255.0,999.0,1255.0,435.0,140.0,140.0,,64.0,143.0,1343.0,58.0,33.0,25.0,,1367.0,300.0,-15.0,1083.0,0.0,1083.0,,
VRE,Q22017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340.0,,1340.0,698.0,642.0,159.0,766.0,132.0,395.0,52.0,82.0,296.0,9.0,32.0,-24.0,,272.0,88.0,-217.0,401.0,0.0,401.0,,
VRE,Q22018,,,10216.0,1532.0,763.0,770.0,15.0,,,15.0,1129.0,444.0,291.0,,,,441.0,-47.0,,2294.0,2332.0,,5246.0,453.0,123.0,2.0,,4667.0,25796.0,10.0,,,,,,10.0,,303.0,271.0,23960.0,-2793.0,,32.0,21167.0,1106.0,,1106.0,1830.0,,,,,1830.0,,1380.0,368.0,19.0,,478.0,516.0,,36012.0,,8757.0,5208.0,1073.0,2228.0,195.0,0.0,648.0,,,28.0,1007.0,18.0,9.0,3.0,,,3548.0,,,,,,45.0,664.0,2770.0,,,69.0,,,,27256.0,27256.0,19011.0,19011.0,,4324.0,,,,,,,,-58.0,3948.0,2787.0,1161.0,,31.0,,,,,,36012.0,1516.0,,1516.0,763.0,753.0,147.0,100.0,100.0,,34.0,35.0,731.0,43.0,1.0,41.0,,772.0,152.0,0.0,620.0,0.0,620.0,,
VRE,Q22019,,,4815.0,702.0,182.0,520.0,76.0,,,76.0,1293.0,409.0,419.0,,,,473.0,-9.0,,864.0,865.0,-1.0,1880.0,128.0,69.0,0.0,,1682.0,32397.0,6.0,,,,,,6.0,,223.0,199.0,31650.0,-4017.0,,24.0,27632.0,1102.0,,1102.0,830.0,,,,,830.0,,2603.0,575.0,9.0,,1576.0,443.0,,37212.0,,9905.0,5980.0,2631.0,939.0,210.0,0.0,1132.0,,,113.0,911.0,19.0,23.0,3.0,,,3925.0,,,,,,163.0,918.0,2764.0,,,80.0,,,,27307.0,27307.0,23288.0,23288.0,,47.0,,,,,,,,-53.0,3992.0,2741.0,1251.0,,33.0,,,,,,37212.0,1983.0,,1983.0,1024.0,959.0,78.0,73.0,73.0,,48.0,127.0,788.0,12.0,13.0,-1.0,,788.0,148.0,0.0,640.0,1.0,639.0,,
VRE,Q22020,,,8162.0,4105.0,1885.0,2220.0,65.0,,,65.0,1542.0,925.0,436.0,,,,194.0,-12.0,,1010.0,1010.0,-1.0,1441.0,170.0,52.0,0.0,,1218.0,30598.0,7.0,,,,,1250.0,7.0,,461.0,434.0,32877.0,-5313.0,,28.0,27564.0,774.0,,774.0,,,,,,,,1792.0,519.0,9.0,,892.0,370.0,,38761.0,,10972.0,5867.0,1634.0,1493.0,497.0,1.0,852.0,,,146.0,1197.0,20.0,24.0,3.0,,,5105.0,,,,,,94.0,1148.0,3784.0,,,79.0,,,,27789.0,27789.0,23288.0,23288.0,,47.0,,,-1954.0,,,,,-53.0,6427.0,5592.0,835.0,,34.0,,,,,,38761.0,1630.0,,1630.0,984.0,646.0,58.0,100.0,99.0,,45.0,92.0,467.0,-18.0,4.0,-22.0,,446.0,103.0,0.0,343.0,0.0,343.0,,
VRE,Q22021,,,5708.0,2309.0,548.0,1761.0,674.0,,,674.0,1314.0,1134.0,69.0,,,295.0,149.0,-39.0,,290.0,290.0,,1122.0,59.0,22.0,0.0,,1040.0,32205.0,8.0,,,,,,8.0,,434.0,418.0,33696.0,-6665.0,63.0,16.0,27031.0,1001.0,,1001.0,,,,,,,,3731.0,435.0,16.0,,2982.0,298.0,,37914.0,,7409.0,3041.0,538.0,399.0,435.0,0.0,671.0,,,108.0,851.0,20.0,16.0,3.0,,,4368.0,,,,,,87.0,1076.0,3128.0,,,77.0,,,,30505.0,30505.0,23288.0,23288.0,,47.0,,,-1954.0,,,,,-53.0,9142.0,7974.0,1168.0,,35.0,,,,,,37914.0,1510.0,,1510.0,881.0,629.0,120.0,152.0,151.0,,52.0,80.0,465.0,20.0,2.0,18.0,,483.0,96.0,0.0,388.0,0.0,388.0,,
VRE,Q22022,,,7065.0,4901.0,696.0,4205.0,293.0,,,293.0,1222.0,1091.0,111.0,,,,205.0,-184.0,,556.0,556.0,,94.0,63.0,21.0,9.0,,,31606.0,8.0,,,,,,8.0,,427.0,412.0,35349.0,-7985.0,,-47.0,27364.0,805.0,,805.0,,,,,,,,3003.0,357.0,16.0,,2404.0,225.0,,38672.0,,6870.0,3427.0,540.0,151.0,275.0,,482.0,,,60.0,843.0,1058.0,14.0,3.0,,,3443.0,,,,,,98.0,1155.0,2115.0,,,75.0,,,,31802.0,31802.0,23288.0,23288.0,,47.0,,,-1954.0,,,,,-53.0,10439.0,9289.0,1150.0,,35.0,,,,,,38672.0,1850.0,,1850.0,788.0,1061.0,104.0,88.0,88.0,,34.0,105.0,939.0,21.0,1.0,20.0,,959.0,187.0,-1.0,773.0,0.0,773.0,,
VRE,Q22023,,,12223.0,7515.0,5495.0,2021.0,100.0,,,100.0,1462.0,1179.0,54.0,,,,421.0,-193.0,,1452.0,1452.0,,1695.0,139.0,39.0,1.0,,1515.0,31971.0,10.0,,,,,,10.0,,417.0,396.0,35180.0,-9344.0,,21.0,25836.0,705.0,,705.0,,,,,,,,5003.0,459.0,91.0,,4299.0,153.0,,44194.0,,8751.0,5254.0,766.0,1447.0,1247.0,,626.0,,,49.0,1089.0,20.0,8.0,3.0,,,3498.0,,,,,,119.0,1172.0,2134.0,,,73.0,,,,35443.0,35443.0,23288.0,23288.0,,47.0,,,-1954.0,,,,,-53.0,14092.0,12065.0,2027.0,,23.0,,,,,,44194.0,2173.0,,2173.0,983.0,1189.0,278.0,80.0,80.0,,44.0,74.0,1270.0,24.0,26.0,-1.0,,1268.0,252.0,16.0,1001.0,0.0,1001.0,,
VRE,Q22024,,,12384.0,1003.0,1003.0,,114.0,,,114.0,5520.0,1663.0,66.0,,,,1778.0,-338.0,,229.0,229.0,,5518.0,72.0,31.0,1.0,,5414.0,39945.0,459.0,,,,,,459.0,,235.0,214.0,37749.0,-10625.0,,21.0,27124.0,782.0,,782.0,,,,,,,,11345.0,457.0,87.0,,10716.0,84.0,,52328.0,,12398.0,5502.0,735.0,223.0,781.0,0.0,967.0,,,76.0,890.0,1824.0,5.0,2.0,,,6896.0,,,,,,142.0,4531.0,2153.0,,,71.0,,,,39931.0,39931.0,23288.0,23288.0,,47.0,,,-1954.0,,,,,-53.0,18603.0,16476.0,2127.0,,0.0,,,,,,52328.0,2479.0,,2479.0,1269.0,1209.0,420.0,179.0,138.0,,56.0,160.0,1235.0,64.0,22.0,42.0,,1277.0,263.0,-7.0,1021.0,,1021.0,,
VRE,Q32016,,,7387.0,1698.0,397.0,1301.0,60.0,,,60.0,3340.0,829.0,112.0,,,,2461.0,-62.0,,683.0,683.0,,1666.0,134.0,53.0,7.0,,1471.0,26912.0,2621.0,,,,,2614.0,8.0,,399.0,363.0,18070.0,-1491.0,,36.0,16579.0,1470.0,,1470.0,4029.0,,4029.0,,,,,1815.0,1188.0,2.0,,5500.0,625.0,,34299.0,,9616.0,2733.0,453.0,1002.0,70.0,7.0,403.0,,,37.0,749.0,6.0,3.0,3.0,,,6883.0,,,,,,92.0,551.0,5954.0,,,283.0,2.0,,,24683.0,24683.0,21092.0,15166.0,5925.0,1788.0,,,,,,,,-58.0,1831.0,198.0,1633.0,,31.0,,,,,,34299.0,1372.0,,1372.0,698.0,674.0,179.0,312.0,311.0,129.0,55.0,78.0,536.0,22.0,29.0,-7.0,,528.0,43.0,-62.0,547.0,0.0,547.0,,
VRE,Q32017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235.0,,1235.0,642.0,592.0,143.0,139.0,139.0,,39.0,120.0,438.0,7.0,10.0,-3.0,,435.0,84.0,-23.0,374.0,,374.0,,
VRE,Q32018,,,7612.0,2325.0,570.0,1755.0,15.0,,,15.0,1226.0,508.0,280.0,,,,453.0,-15.0,,1381.0,1385.0,,2665.0,221.0,97.0,0.0,,2347.0,29163.0,8.0,,,,,,8.0,,283.0,255.0,27775.0,-3066.0,,28.0,24709.0,819.0,,819.0,,,,,,,,1514.0,524.0,14.0,,478.0,498.0,,36775.0,,8962.0,5211.0,2000.0,1516.0,215.0,0.0,504.0,,,101.0,844.0,18.0,9.0,3.0,,,3751.0,,,,,,238.0,677.0,2761.0,,,73.0,,,,27813.0,27872.0,19011.0,19011.0,,4324.0,,,,,,,,,4502.0,2787.0,1716.0,,34.0,,,,,,36775.0,2949.0,,2949.0,1995.0,954.0,96.0,112.0,72.0,,191.0,79.0,669.0,12.0,5.0,7.0,,675.0,111.0,8.0,556.0,1.0,554.0,,
VRE,Q32019,,,5636.0,1383.0,713.0,670.0,85.0,,,85.0,1321.0,517.0,229.0,,,,586.0,-11.0,,899.0,900.0,-1.0,1947.0,131.0,51.0,0.0,,1765.0,31949.0,8.0,,,,,,8.0,,223.0,200.0,31780.0,-4310.0,,23.0,27470.0,1165.0,,1165.0,700.0,,,,,700.0,,2384.0,552.0,9.0,,1397.0,425.0,,37585.0,,9561.0,5655.0,2515.0,992.0,232.0,35.0,796.0,,,126.0,914.0,18.0,23.0,3.0,,,3906.0,,,,,,145.0,915.0,2765.0,,,81.0,,,,28024.0,28024.0,23288.0,23288.0,,47.0,,,,,,,,-53.0,4709.0,2741.0,1968.0,,34.0,,,,,,37585.0,2208.0,,2208.0,1130.0,1078.0,60.0,76.0,74.0,,68.0,103.0,890.0,16.0,5.0,11.0,,901.0,184.0,1.0,717.0,0.0,717.0,,
VRE,Q32020,,,9771.0,2226.0,1106.0,1120.0,1893.0,,,1893.0,1672.0,967.0,120.0,,,,597.0,-12.0,,1203.0,1204.0,-1.0,2777.0,175.0,55.0,0.0,,2546.0,30309.0,7.0,,,,,,7.0,,450.0,425.0,32862.0,-5656.0,,25.0,27206.0,883.0,,883.0,,,,,,,,1761.0,507.0,9.0,,892.0,352.0,,40079.0,,11718.0,4781.0,638.0,1523.0,365.0,1.0,821.0,,,187.0,1200.0,19.0,24.0,3.0,,,6937.0,,,,,,73.0,1088.0,5696.0,,,79.0,,,,28361.0,28361.0,23288.0,23288.0,,47.0,,,-1954.0,,,,,-53.0,7000.0,5592.0,1407.0,,34.0,,,,,,40079.0,1760.0,,1760.0,916.0,845.0,77.0,126.0,125.0,,40.0,84.0,673.0,47.0,4.0,44.0,,716.0,145.0,-1.0,572.0,0.0,572.0,,
