stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
SHB,Q12009,,,103.0,90.0,2426.0,2426.0,0.0,0.0,481.0,495.0,-14.0,0.0,5859.0,5885.0,-26.0,,,,1856.0,955.0,901.0,0.0,748.0,0.0,0.0,748.0,0.0,826.0,100.0,729.0,-2.0,0.0,727.0,0.0,0.0,0.0,1262.0,177.0,183.0,0.0,901.0,0.0,0.0,13651.0,,0.0,776.0,776.0,0.0,10208.0,0.0,25.0,0.0,287.0,184.0,0.0,103.0,0.0,11296.0,2356.0,2046.0,2000.0,0.0,48.0,-2.0,0.0,0.0,52.0,0.0,8.0,250.0,,0.0,13651.0
SHB,Q12010,,,199.0,122.0,3017.0,3017.0,0.0,0.0,17.0,17.0,0.0,1.0,13335.0,13462.0,-127.0,,,,4568.0,3038.0,1541.0,-11.0,270.0,0.0,0.0,270.0,0.0,851.0,123.0,731.0,-3.0,0.0,728.0,0.0,0.0,0.0,2592.0,492.0,516.0,0.0,1584.0,0.0,0.0,24971.0,,209.0,5273.0,5273.0,0.0,15478.0,0.0,45.0,239.0,1190.0,171.0,0.0,1015.0,4.0,22433.0,2538.0,2043.0,2000.0,0.0,48.0,-5.0,0.0,0.0,96.0,-28.0,0.0,426.0,,0.0,24971.0
SHB,Q12011,,,330.0,202.0,14213.0,14213.0,0.0,0.0,68.0,69.0,-1.0,12.0,24804.0,25087.0,-282.0,,,,9089.0,8102.0,1000.0,-13.0,338.0,0.0,0.0,338.0,0.0,1534.0,135.0,1406.0,-7.0,0.0,1399.0,0.0,0.0,0.0,5225.0,2705.0,1284.0,0.0,1236.0,0.0,0.0,55816.0,,699.0,17304.0,17304.0,0.0,27780.0,0.0,383.0,4071.0,1180.0,696.0,0.0,476.0,8.0,51417.0,4399.0,3590.0,3498.0,0.0,98.0,-5.0,0.0,0.0,169.0,0.0,16.0,623.0,,0.0,55816.0
SHB,Q12012,,,363.0,1009.0,25723.0,25723.0,0.0,0.0,21.0,42.0,-20.0,3.0,31137.0,31561.0,-424.0,,,,7690.0,5104.0,2599.0,-13.0,333.0,0.0,0.0,334.0,-1.0,2275.0,186.0,2110.0,-21.0,0.0,2088.0,0.0,0.0,0.0,5816.0,2760.0,2087.0,0.0,969.0,0.0,0.0,74370.0,,400.0,20111.0,19187.0,924.0,41879.0,0.0,235.0,4629.0,992.0,804.0,0.0,162.0,26.0,68246.0,6124.0,4909.0,4816.0,0.0,98.0,-5.0,0.0,0.0,278.0,-6.0,0.0,943.0,,0.0,74370.0
SHB,Q12013,,,735.0,3878.0,19142.0,17650.0,1512.0,-20.0,42.0,68.0,-26.0,40.0,53779.0,54894.0,-1115.0,,,,10714.0,7248.0,3475.0,-9.0,431.0,,,435.0,-4.0,3871.0,385.0,3583.0,-97.0,,3487.0,85.0,85.0,,11682.0,2140.0,4661.0,0.0,4935.0,,-54.0,104400.0,,,11276.0,9508.0,1768.0,78411.0,,423.0,2172.0,2427.0,1357.0,,1030.0,40.0,94709.0,9688.0,8962.0,8866.0,,102.0,-5.0,,,518.0,-34.0,,242.0,,3.0,104400.0
SHB,Q12014,,,618.0,1113.0,11352.0,8287.0,3065.0,,77.0,94.0,-18.0,7.0,81355.0,82304.0,-949.0,,,,15763.0,7019.0,8751.0,-7.0,320.0,,32.0,347.0,-59.0,4141.0,389.0,3881.0,-129.0,,3752.0,17.0,17.0,0.0,13268.0,2446.0,5981.0,0.0,5097.0,,-256.0,128031.0,,503.0,3181.0,2481.0,699.0,98082.0,,493.0,12357.0,2830.0,1587.0,,1174.0,69.0,117446.0,10582.0,8962.0,8866.0,,102.0,-5.0,,,642.0,5.0,,972.0,,3.0,128031.0
SHB,Q12015,,,1125.0,2805.0,17163.0,16468.0,700.0,-5.0,33.0,54.0,-22.0,13.0,110849.0,111901.0,-1052.0,0.0,0.0,0.0,13448.0,5782.0,8033.0,-367.0,307.0,0.0,0.0,327.0,-20.0,4078.0,364.0,3844.0,-130.0,0.0,3714.0,17.0,17.0,0.0,16093.0,1506.0,7769.0,0.0,6871.0,0.0,-54.0,165930.0,,0.0,12157.0,11080.0,1077.0,134602.0,0.0,225.0,5601.0,2663.0,1879.0,0.0,785.0,0.0,155248.0,10682.0,8962.0,8866.0,0.0,102.0,-5.0,0.0,0.0,734.0,3.0,0.0,980.0,3.0,0.0,165930.0
SHB,Q12016,,,1025.0,2262.0,25291.0,23303.0,1994.0,-5.0,53.0,68.0,-15.0,0.0,136058.0,137647.0,-1589.0,0.0,0.0,0.0,18250.0,8996.0,9817.0,-563.0,289.0,0.0,0.0,299.0,-10.0,4032.0,343.0,3849.0,-161.0,0.0,3689.0,17.0,17.0,0.0,16354.0,1668.0,8994.0,0.0,5763.0,0.0,-71.0,203631.0,,518.0,24462.0,20648.0,3814.0,154817.0,37.0,411.0,8440.0,3395.0,2967.0,0.0,428.0,0.0,192080.0,11551.0,9582.0,9486.0,0.0,102.0,-5.0,0.0,0.0,864.0,-1.0,0.0,1103.0,2.0,0.0,203631.0
SHB,Q12017,,,1363.0,1877.0,31271.0,27366.0,3910.0,-5.0,45.0,60.0,-15.0,0.0,170156.0,172090.0,-1934.0,0.0,0.0,0.0,21995.0,13662.0,9770.0,-1437.0,236.0,0.0,0.0,242.0,-6.0,3940.0,409.0,3728.0,-197.0,0.0,3531.0,17.0,17.0,0.0,17011.0,1331.0,8368.0,0.0,7537.0,0.0,-225.0,247910.0,,2149.0,35861.0,29975.0,5886.0,176008.0,41.0,2896.0,13512.0,3983.0,3508.0,0.0,475.0,0.0,234451.0,13459.0,11293.0,11197.0,0.0,102.0,-5.0,0.0,0.0,1038.0,-4.0,0.0,1130.0,2.0,0.0,247910.0
SHB,Q12018,,,1545.0,2068.0,30818.0,26360.0,4459.0,,448.0,451.0,-3.0,40.0,199624.0,202488.0,-2864.0,,,,21031.0,11725.0,11093.0,-1787.0,215.0,,,227.0,-12.0,3986.0,457.0,3750.0,-221.0,,3530.0,,,,27128.0,13875.0,8302.0,,5361.0,,-410.0,286905.0,,2926.0,36593.0,22732.0,13861.0,208444.0,,1676.0,16921.0,5142.0,4760.0,,381.0,,271702.0,15202.0,12133.0,12036.0,,102.0,-5.0,,,1221.0,20.0,,1829.0,,,286905.0
SHB,Q12019,,,2115.0,5699.0,23632.0,23132.0,500.0,,1.0,4.0,-3.0,56.0,223012.0,226014.0,-3002.0,,,,50654.0,28461.0,24120.0,-1926.0,188.0,,,194.0,-6.0,4791.0,481.0,4565.0,-254.0,,4311.0,,,,22957.0,10130.0,9248.0,,4232.0,,-653.0,333106.0,,1232.0,53374.0,32311.0,21062.0,232940.0,,1495.0,20519.0,6480.0,5792.0,0.0,688.0,,316040.0,17066.0,12133.0,12036.0,,102.0,-5.0,,,1467.0,-15.0,,3481.0,,,333106.0
SHB,Q12020,,,1565.0,4279.0,25362.0,25362.0,,,1.0,4.0,-3.0,,279030.0,282160.0,-3130.0,,,,21673.0,9202.0,13212.0,-741.0,133.0,,,166.0,-33.0,4823.0,503.0,4604.0,-283.0,,4321.0,,,,32116.0,15915.0,9641.0,,7073.0,,-512.0,368982.0,,699.0,47483.0,32538.0,14945.0,262540.0,16.0,2784.0,25480.0,10776.0,8431.0,,2345.0,,349777.0,19204.0,14647.0,14551.0,,102.0,-5.0,,,1798.0,7.0,,2752.0,,,368982.0
SHB,Q12021,,,1816.0,5044.0,31010.0,30995.0,15.0,,3639.0,3642.0,-3.0,62.0,307234.0,310691.0,-3457.0,,,,38890.0,23766.0,16002.0,-878.0,133.0,,,166.0,-33.0,4890.0,535.0,4633.0,-293.0,15.0,4340.0,,,,25690.0,13926.0,9772.0,,2339.0,,-347.0,418408.0,,587.0,47839.0,33691.0,14148.0,300654.0,,3693.0,31218.0,8804.0,7572.0,,1231.0,,392795.0,25612.0,17607.0,17510.0,,102.0,-5.0,,,2195.0,,,5811.0,,,418408.0
SHB,Q12022,,,1675.0,6993.0,60433.0,55032.0,5440.0,-40.0,3.0,4.0,-1.0,260.0,366565.0,371787.0,-5222.0,,,,36061.0,20216.0,15886.0,-42.0,127.0,,,158.0,-32.0,4982.0,526.0,4754.0,-309.0,10.0,4446.0,,,,38455.0,25414.0,8768.0,,4528.0,,-256.0,515553.0,,1485.0,75909.0,71103.0,4807.0,333639.0,,4906.0,49572.0,12225.0,8247.0,,3978.0,,477735.0,37819.0,28118.0,26674.0,,1450.0,-5.0,,,2912.0,-340.0,,7129.0,,,515553.0
